publisher,textbook_version,book_slug,unit,unit_title,lesson,lemma,stressed_lemma,part_of_speech,definition_zh,gender,aspect,aspect_pair,example,example_zh,audio_url,source
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,адрес,а́дрес,noun,地址,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,альбом,альбо́м,noun,相册,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,Америка,Аме́рика,noun,美国,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,английский,англи́йский,adjective,英国的,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,Англия,Англи́я,noun,英国,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,берёза,берёза,noun,白桦树,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,билет,биле́т,noun,票,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,больница,больни́ца,noun,医院,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,больше,бо́льше,adverb,更……,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,быстро,бы́стро,adverb,快地,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,быстрый,бы́стрый,adjective,快的,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,великий,вели́кий,adjective,伟大的,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,весна,весна́,noun,春天,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,весной,весно́й,adverb,（在）春天,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,вещь,вещь,noun,东西,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,взаимный,взаи́мный,adjective,互相的,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,воздух,возду́х,noun,空气,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,вокзал,вокза́л,noun,火车站,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,вопрос,вопро́с,noun,问题,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,восьмой,восьмо́й,numeral,第八,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,всегда,всегда́,adverb,总是,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,вторая,втора́я,numeral,第二（阴性）,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,глаз,глаз,noun,眼睛,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,говорить,говори́ть,verb,说,,imperfective,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,гость,гость,noun,客人,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,градус,гра́дус,noun,度,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,грамм,грамм,noun,克,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,грамота,гра́мота,noun,证书,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,граница,грани́ца,noun,边界,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,грусть,грусть,noun,忧愁,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,директор,дире́ктор,noun,校长,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,добрый,добрый,adjective,善良的,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,домашний,дома́шний,adjective,家庭的,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,дорогой,дорого́й,adjective,亲爱的/贵的,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,доска,до́ска,noun,黑板,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,друг,друг,noun,朋友,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,думать,ду́мать,verb,想,,imperfective,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,жена,жена́,noun,妻子,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,женщина,же́нщина,noun,女人,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,жить,жить,verb,生活,,imperfective,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,журнал,журна́л,noun,杂志,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,знакомиться,знако́миться,verb,结识,,imperfective,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,знать,знать,verb,知道,,imperfective,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,зоопарк,зоопа́рк,noun,动物园,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,зуб,зуб,noun,牙齿,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,инженер,инжене́р,noun,工程师,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,интересный,интере́сный,adjective,有趣的,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,карандаш,каранда́ш,noun,铅笔,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,класс,класс,noun,年级,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,компьютер,компью́тер,noun,电脑,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,кровать,крова́ть,noun,床,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,лагерь,ла́герь,noun,夏令营,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,лес,лес,noun,森林,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,лётчик,лётчик,noun,飞行员,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,ложка,ло́жка,noun,勺子,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,лыжи,лы́жи,noun,滑雪板,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,люди,лю́ди,noun,人们,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,магазин,магази́н,noun,商店,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,мальчик,ма́льчик,noun,男孩,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,машина,маши́на,noun,汽车,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,медленный,ме́дленный,adjective,慢的,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,мост,мост,noun,桥,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,музей,музе́й,noun,博物馆,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,музыка,му́зыка,noun,音乐,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,мяч,мяч,noun,球,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,написать,написа́ть,verb,写完,,perfective,писать//написать,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,не,не,particle,不,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,небо,не́бо,noun,天空,neuter,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,нет,нет,particle,不/没有,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,низкий,ни́зкий,adjective,矮的,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,номер,но́мер,noun,号码,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,нос,нос,noun,鼻子,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,оранжевый,оранжевый,adjective,橙色的,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,первый,пе́рвый,numeral,第一,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,писать,писа́ть,verb,写,,imperfective,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,плакать,пла́кать,verb,哭,,imperfective,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,познакомиться,познако́миться,verb,结识,,perfective,знакомиться//познакомиться,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,посмотреть,посмотре́ть,verb,看完,,perfective,смотреть//посмотреть,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,поэт,поэ́т,noun,诗人,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,прочитать,прочита́ть,verb,读完,,perfective,читать//прочитать,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,радио,ра́дио,noun,收音机,neuter,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,река,река́,noun,河,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,родина,ро́дина,noun,祖国,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,рот,рот,noun,嘴,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,сад,сад,noun,花园,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,сказать,сказа́ть,verb,说,,perfective,говорить//сказать,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,смотреть,смотре́ть,verb,看,,imperfective,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,стакан,ста́кан,noun,玻璃杯,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,станция,ста́нция,noun,车站,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,стихотворение,стихотворе́ние,noun,诗,neuter,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,стол,стол,noun,桌子,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,стул,стул,noun,椅子,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,театр,теа́тр,noun,剧院,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,телевизор,телеви́зор,noun,电视,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,тетрадь,тетра́дь,noun,练习本,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,тихий,ти́хий,adjective,安静的,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,умный,у́мный,adjective,聪明的,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,учебник,уче́бник,noun,教科书,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,ученик,учени́к,noun,学生,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,Франция,Фра́нция,noun,法国,feminine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,холодный,холо́дный,adjective,冷的,,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,художник,худо́жник,noun,画家,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,цирк,цирк,noun,马戏团,masculine,,,,,,人教版七年级俄语全一册教材
pep,人教版俄语教材,pep-ru-junior-g7-full,0,预备单元,0,человек,челове́к,noun,人,masculine,,,,,,人教版七年级俄语全一册教材
